text	label	category	perspective_score
The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK	OFF	TIN	0.44079697
@USER No wonder he is being apologetic and more social these day....	NOT		0.12608346
@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL	NOT		0.5756840999999999
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.	NOT		0.36576954
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL	OFF	TIN	0.51768273
@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke	OFF	TIN	0.69019186
@USER Blow hard	NOT		0.46589994
@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game	NOT		0.057393674000000006
"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be."""	NOT		0.41897
@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.	NOT		0.36899012
3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.	NOT		0.5339541
.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh	NOT		0.38124335
"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me"""	NOT		0.7861518
@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀	NOT		0.2657949
@USER Wow you liberals really don’t have a sense of humor.🙄	NOT		0.39878452
@USER I'M SO FUCKING READY	NOT		0.87185377
@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic	NOT		0.7304078
@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc	NOT		0.115539774
@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.	NOT		0.46200886
@USER Me too! Her wedding was the best! She is very pretty!	NOT		0.0686435
@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.	NOT		0.31137857
@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes	NOT		0.29256648
4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???	OFF	TIN	0.5312701999999999
#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL	NOT		0.20082572
@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?	NOT		0.22426262
@USER Fuck off	OFF	TIN	0.98290724
@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion	NOT		0.7143425999999999
"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing"""""	OFF	TIN	0.84151417
@USER @USER She is useless.  Attempts to do the right thing but never follows through.	OFF	TIN	0.7434457
#WalkAway liberals......Your party is POISON. URL	NOT		0.7624398
@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.	OFF	TIN	0.5665701
@USER You are lying. Stick with the facts. We pay more than that now.	NOT		0.53220534
@USER Trump kicks dem butt - its so fun.	OFF	TIN	0.6519473000000001
@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.	OFF	TIN	0.9430079
#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL	NOT		0.06914684
@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍	NOT		0.3654078
@USER And this from the clown that should be in prison?	OFF	TIN	0.6079781
@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL	NOT		0.17548616
@USER Thats because you are an old man.	OFF	TIN	0.5999076999999999
@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!	OFF	TIN	0.7143425999999999
"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either.."""	NOT		0.7190134
"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things."""	NOT		0.24893662
@USER I mean it worked for gun control right? URL	OFF	TIN	0.1976656
@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.	NOT		0.3641877
@USER Principled conservatives are #Hypocrickets	NOT		0.25459164
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa	NOT		0.119879045
@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️	NOT		0.122713655
@USER Bring out his Antifa criminal son to campaign for him	NOT		0.4624294
@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.	NOT		0.5564704
A tear is made of 1% water and 99% feelings.	NOT		0.05192315
"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL"	NOT		0.1846072
@USER She is drinking so much koolaid she’s bloated.	OFF	TIN	0.25243878
@USER Holder needs to be prosecuted	NOT		0.4394599
@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!	NOT		0.43002707
@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!	OFF	TIN	0.83785176
*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*	NOT		0.1409713
@USER well...? URL	NOT		0.06495425
WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL	OFF	TIN	0.6615012
"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable."""	NOT		0.12265151
@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.	NOT		0.39877328
@USER Great news! Old moonbeam Just went into a coma! 😂	NOT		0.20459749
@USER OMG HE IS SO EXTRA ILY	NOT		0.19201495
@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!	OFF	TIN	0.8373796
@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.	NOT		0.55449444
@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!	NOT		0.16581815
@USER @USER Guy you are always present...bet why? Lol	NOT		0.17643903
@USER @USER what a baby! URL	NOT		0.10727193
@USER you are very persuasive fam	NOT		0.08838935
@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL	NOT		0.1304117
@USER Burt. A cool dude.	NOT		0.046027802
#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.	NOT		0.3222525
@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy	NOT		0.100737005
@USER Kind of like what trump does all the time huh?	NOT		0.18805856
@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.	NOT		0.3718852
@USER Fuck em	OFF	TIN	0.9543434999999999
@USER Good move....he is the big loser	OFF	TIN	0.8555874
@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce	NOT		0.20226955
@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.	NOT		0.11389851
@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.	NOT		0.20184702
"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash"""	OFF	UNT	0.48483294
@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.	OFF	TIN	0.9055028
@USER she is idk what's going on	NOT		0.09795189
@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL	NOT		0.16853541
@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!	NOT		0.7833135
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.	NOT		0.53147584
@USER The laughs I’ve gotten from you are enough. 😌	NOT		0.45299023
@USER @USER @USER well?	NOT		0.07300398
@USER @USER @USER First of all— they don’t even have pizza at Panera	NOT		0.43997145
@USER @USER @USER please don't kill me. antifa on the other hand...	OFF	TIN	0.5217364999999999
@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.	NOT		0.054087427
@USER Good girl @USER	NOT		0.038952857
@USER @USER She is an ugly black hearted troll URL	OFF	TIN	0.92196625
@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.	NOT		0.15212376
@USER Dont believe the hype.	OFF	UNT	0.14910957
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.	NOT		0.06877237
#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL	NOT		0.31613179999999996
"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity."""""	NOT		0.118485965
@USER @USER We have been saved from you! MAGA!	OFF	TIN	0.14931960000000002
@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.	NOT		0.22690922
@USER Good riddance.	NOT		0.116912566
@USER She is a goddess	NOT		0.071524255
"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead"""""	NOT		0.48531988
"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century."""	OFF	TIN	0.3132553
@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!	NOT		0.43317357
@USER This all I get 😢 damn these haters deleting you IG for no reason... URL	OFF	TIN	0.8377934000000001
@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?	NOT		0.31929722
@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.	NOT		0.27923667
@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL	NOT		0.22453904
@USER SJSHSJ THATS MY JOB BITCH	OFF	TIN	0.95820117
@USER Do they discuss Haiti?	NOT		0.074805625
@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat	OFF	TIN	0.6519683000000001
@USER He is very skilled😂😂	NOT		0.11722807
@USER You are amazing 💛💛💛	NOT		0.051744804000000005
@USER Fist pump was for the troops.	NOT		0.30465874
"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!"""	OFF	TIN	0.7605936
@USER Let the leftist democrats riot in the streets with their antifa counterparts.	OFF	TIN	0.56274116
@USER I thought Canada had strict gun control.  Help me understand what is happening.	NOT		0.12255103
@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias	NOT		0.7143425999999999
@USER He is doing life tho😑	NOT		0.21744117
@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP	NOT		0.35113153
@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.	OFF	TIN	0.28073055
@USER @USER @USER Have you seen or listened to your ANTIFA pals?	NOT		0.08007596
@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.	NOT		0.32405153
@USER Your titles scare me a little bit. ;-)	NOT		0.3010759
@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck	NOT		0.5427589
@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli	NOT		0.21911411
@USER And who seems to be getting things done.	NOT		0.10232812
I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2)	NOT		0.112469055
@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!	OFF	TIN	0.866433
@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.	NOT		0.084815815
@USER This game sucks donkey balls	OFF	TIN	0.9769450000000001
@USER Yo for real you are gorgeous	NOT		0.04575855
@USER Absolutely should be a nail in the coffin.... for Hilliary	OFF	TIN	0.6962791
@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄	NOT		0.09654423
@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.	NOT		0.32242182
@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.	NOT		0.26193732
@USER @USER Doesn't he partly fund Antifa?	NOT		0.12799507
@USER He is a DUMBASS !!!!!	OFF	TIN	0.9690243000000001
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL	OFF	TIN	0.43224087
@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL	OFF	TIN	0.76452553
@USER @USER O.K. Conservatives get to the polls. Vote red.	NOT		0.17206629999999998
@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail	OFF	TIN	0.7143425999999999
"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot"""	NOT		0.27937904
@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.	NOT		0.18677893
@USER Oh my Carmen. He is SO FRICKING CUTE	OFF	TIN	0.57348865
@USER Chelsea is as crazy as her mother	OFF	TIN	0.8326566999999999
@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.	NOT		0.45506984
@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.	NOT		0.28022218
"@USER   THE METOO MOVEMENT MUST BE AN EXTENSION OF ANTIFA AND IS A  COMPLETE JOKE! IF THIS MOVEMENT WASN'T SELECTIVE, JOE BIDEN WOULD BE IN COURT FOR FONDING GIRLS ON CAMERA""! URL"	NOT		0.37245145
@USER @USER you are awesome! Thank you. You give humanity hope!	NOT		0.033342045
@USER GOOBER	NOT		0.08379338
@USER Another uninformed	NOT		0.12537177
@USER I forgot he is their foster child!	NOT		0.18805856
"@USER And the brainless #DEMS wants us to believe that he doesn't have the majority. Liberals is just like their leaders"" the corrupts #Obama and #CrookedHillary both are real bad losers #MAGA #TRUMP"""	OFF	TIN	0.76684207
@USER No fucking way he said this!	NOT		0.8835083
@USER @USER Such supposedly smart people didn't think for one moment that in the audience there are people who voted Trump and are scared shitless hearing the top brass speak that way.	NOT		0.5387251000000001
@USER I'm not surprised. It takes a sick woman to make this type of accusations. The kind you can only find on the far left. Liberals are praying that the really weak members of the GOP like Collins and Flake will pull back their support.	NOT		0.37751332
@USER @USER California gun control is direct result of white people scared of Black Panthers using their right to bear arms. NRA had no problem with that gun control!	OFF	TIN	0.46589994
@USER @USER @USER @USER @USER @USER @USER @USER @USER or where 25 Oct 2005 Brazil citizens overwhelming voted “No” on the government implementing strict gun control by a factor of 63.9%  And the Brazilian government still violates that referendum everyday as Brazilians are murdered w/zero effective method of self defense	NOT		0.2289344
"...If we claim to be without sin, we deceive ourselves and the truth is not in us. If we confess our sins, he is faithful and just and will forgive us our sins and purify us from all unrighteousness. (1 John 1:5-9)"""	NOT		0.06334368
@USER @USER And yet millions of permit holding people carried legally concealed firearms that same day and didn’t hurt themselves or anyone else.   But yet they want to have stronger gun control.   Idiots!  🤨  Our wonderful media has to hype incidents that fits their agenda.	OFF	TIN	0.8330996999999999
@USER Yes do hurt your selves gun control freaks.	OFF	TIN	0.34661973
@USER @USER @USER @USER @USER You get more like this guy with every hysterical tweet URL	NOT		0.5043393
@USER He always shows dedication at what he does no wonder he is the best URL	NOT		0.071149744
@USER @USER @USER Bullshit! Regulations are good because it keeps conservatives from striping our land into the Abyss	OFF	TIN	0.83766997
@USER the owner of my culo	OFF	TIN	0.90317124
Now she scarred herself for life lol #MAGA URL	OFF	TIN	0.12006556
@USER you fucking -	OFF	TIN	0.9663913000000001
Confirm the MAN! THE LEFT WING ACTIVIST IS A LIAR WHO'S STORY CHANGES! NO HARD EVIDENCE! #ChristineBlaseyFord Innocent until proven guilty! #ConfirmKavanaugh  #MAGA  @USER  #WeakRinos #Republicans	OFF	TIN	0.6003153
@USER Reagan also signed the first gun control bill as governor of CA	NOT		0.099374115
@USER Awe Hogwash do we really need you to overstate the obvious?	NOT		0.3834697
30+ years as a JUDGE...6 Extensive backgrounds...NOT a peep...link to TRUMP...BOOM... Do conservatives only rape liberals??? URL	NOT		0.5325097
I'm Assuming I'm Not Going to Get an Answer': Brainless  #Liberal Stooge Ocasio-Cortez  .@USER on $40T Policy Plan URL #WakeUpAmerica  THIS is NOT America's future VOTE Republican  or surrender America to these #DEM morons @USER #MAGA	OFF	TIN	0.6714693
"(1) This man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others.  (2) I'm waiting for gun control advocates to add this to their list of school shootings.""  (3) Who buys .22 caliber handguns? Why? URL"	NOT		0.33636373
@USER @USER Leftists showing yet again how vile they can be	OFF	TIN	0.50296634
@USER He is a drunk crazy man.	OFF	TIN	0.76083595
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER HONORED TO BE INCLUDED WITH ALL THESE FINE PATRIOTS ! THANK YOU RENA ! #MAGA 🇺🇸😀💕🇺🇸 DEAN !  @USER URL	NOT		0.06713143
@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.	NOT		0.71929324
@USER You are not alone. I was sexually assaulted by a fellow law student in 1978. I never reported it because I didn't think I would be believed. However something happened that made me realize I wasn't his only victim. Then I felt I'd made a colossal mistake.	NOT		0.28246477
@USER But Liberals do.	NOT		0.09869671599999999
@USER Another terrorist attack not reported by msm	NOT		0.5823537
@USER dont know who you are so imma just URL	NOT		0.22240163
@USER All that money hadn't made u smarter.	OFF	TIN	0.5045208
@USER Yes!! He is from Gilmer!! It makes me laugh so much!	NOT		0.49053052
@USER U both r my lifeline❤🙏😂 @USER	NOT		0.08318951
@USER Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!	NOT		0.18669169
@USER Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉	OFF	UNT	0.83587354
@USER @USER Unfortunately you're right. Keep it real.  SHE is the assault weapon!	NOT		0.28177586
@USER She is Real Rocky 🔥🔥🔥 Oh My God !!	NOT		0.37859443
@USER Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.	NOT		0.08094902
@USER “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her	NOT		0.20709078
@USER By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !	OFF	TIN	0.83785176
@USER Yes she is	NOT		0.065563254
@USER @USER @USER He tried this before and it went nowhere. He's 100% pro gun control. Done.	NOT		0.23120314
@USER @USER @USER @USER @USER He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.	NOT		0.47067034
"@USER @USER Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not."""	NOT		0.095553964
@USER @USER Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol	NOT		0.41270249999999997
@USER And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.	NOT		0.27940843
Shouldn't pussy grabbing @USER be the one wearing the gloves while handling food? #MAGA URL	OFF	TIN	0.86093146
@USER You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.	NOT		0.17220049
@USER @USER This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.	NOT		0.7388680999999999
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others""."""	OFF	TIN	0.35922456
@USER @USER SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL	NOT		0.6079781
